Bus;Frame;ID;ID (hex);Sender;Signal;Receiver(s);Received by me;Byte Order;Type;No Bits;Start Bit;Min;Max;Scale;Offset;Unit
PT;UserLimits;2032;0x7f0;ECU;maxPower;PowerDisplay;true;Motorola;uint16_t;9;53;-10.0;240.0;0.5;-10.0;KW
PT;InfoPowerDisplay;1536;0x600;PowerDisplay;checksum;;false;Intel;uint8_t;8;0;0.0;255.0;1.0;0.0;
PT;InfoPowerDisplay;1536;0x600;PowerDisplay;sequenceCounter;;false;Intel;uint8_t;4;8;0.0;14.0;1.0;0.0;
PT;InfoPowerDisplay;1536;0x600;PowerDisplay;power;;false;Intel;uint16_t;15;13;-500000.0;500000.0;32.0;-500000.0;W
PT;InfoPowerDisplay;1536;0x600;PowerDisplay;state;;false;Motorola;uint8_t;3;33;0.0;2.0;1.0;0.0;
PT;StatusPowerDisplay;1537;0x601;PowerDisplay;noDlcErrors;;false;Intel;uint16_t;11;0;0.0;2047.0;1.0;0.0;
PT;StatusPowerDisplay;1537;0x601;PowerDisplay;noCheckSumErrors;;false;Intel;uint16_t;11;11;0.0;2047.0;1.0;0.0;
PT;StatusPowerDisplay;1537;0x601;PowerDisplay;noSqcErrors;;false;Intel;uint16_t;11;22;0.0;2047.0;1.0;0.0;
PT;StatusPowerDisplay;1537;0x601;PowerDisplay;sequenceCounter;;false;Motorola;uint8_t;7;39;1.0;126.0;1.0;0.0;
PT;StatusPowerDisplay;1537;0x601;PowerDisplay;checksum;;false;Motorola;uint8_t;8;47;0.0;255.0;1.0;0.0;
PT;LimitsPowerDisplay;1538;0x602;PowerDisplay;sequenceCounter;;false;Intel;uint8_t;3;0;1.0;6.0;1.0;0.0;
PT;LimitsPowerDisplay;1538;0x602;PowerDisplay;belowMinSpeedOfRotation;;false;Intel;boolean_t;1;3;0.0;1.0;1.0;0.0;
PT;LimitsPowerDisplay;1538;0x602;PowerDisplay;aboveMaxSpeedOfRotation;;false;Intel;boolean_t;1;4;0.0;1.0;1.0;0.0;
PT;LimitsPowerDisplay;1538;0x602;PowerDisplay;belowMinPower;;false;Intel;boolean_t;1;5;0.0;1.0;1.0;0.0;
PT;LimitsPowerDisplay;1538;0x602;PowerDisplay;aboveMaxPower;;false;Intel;boolean_t;1;6;0.0;1.0;1.0;0.0;
